Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2020-2024,0.0,DIA,-2.5,1,31,0.89,0.05,0.84,61.29,11.02,-10.06,2.72,-2.01,0.418
2020-2024,0.0,DIA,-2.0,1,45,0.62,0.05,0.57,57.78,11.02,-10.06,2.23,-1.58,0.363
2020-2024,0.0,SPY,-2.0,1,58,0.52,0.06,0.46,55.17,9.06,-9.57,2.03,-1.34,0.34
2020-2024,0.0,SPY,-2.5,1,37,0.6,0.06,0.54,56.76,9.06,-9.57,2.34,-1.69,0.319
2020-2024,0.0,QQQ,-3.0,1,42,0.55,0.08,0.46,59.52,8.47,-9.17,2.07,-1.69,0.275
2020-2024,0.0,QQQ,-2.5,1,69,0.44,0.08,0.36,57.97,8.47,-9.17,1.75,-1.36,0.263
2020-2024,0.0,XLV,-2.0,1,36,0.55,0.04,0.51,58.33,7.71,-7.47,2.35,-1.96,0.262
2020-2024,0.0,XLK,-2.5,1,74,0.45,0.09,0.36,55.41,11.73,-9.76,2.19,-1.72,0.206
2020-2024,0.0,XLK,-3.0,1,44,0.46,0.09,0.37,56.82,11.73,-9.76,2.3,-1.96,0.189
2020-2024,0.0,XLV,-2.5,1,25,0.43,0.04,0.39,56.0,7.71,-7.47,2.39,-2.08,0.187
2020-2024,0.0,XLK,-2.0,1,114,0.35,0.09,0.26,58.77,11.73,-9.76,1.78,-1.7,0.151
2020-2024,0.0,XLK,-1.5,1,175,0.36,0.09,0.27,61.71,11.73,-9.76,1.7,-1.79,0.15
2020-2024,0.0,XLK,-1.5,3,175,0.6,0.27,0.33,57.14,10.45,-13.1,2.96,-2.55,0.128
2020-2024,0.0,QQQ,-2.0,1,105,0.26,0.08,0.18,56.19,8.47,-9.17,1.57,-1.41,0.127
2020-2024,0.0,QQQ,-1.5,1,158,0.26,0.08,0.18,57.59,8.47,-9.17,1.53,-1.46,0.123
2020-2024,0.0,XLK,-1.5,5,175,0.87,0.45,0.42,60.0,11.29,-17.04,3.72,-3.41,0.122
2020-2024,0.0,DIA,-1.0,5,153,0.54,0.24,0.3,60.13,19.86,-18.87,2.76,-2.82,0.108
2020-2024,0.0,XLK,-1.0,1,267,0.25,0.09,0.16,57.68,11.73,-9.76,1.56,-1.54,0.103
2020-2024,0.0,QQQ,-1.5,3,158,0.5,0.25,0.25,59.49,8.4,-13.28,2.65,-2.65,0.095
2020-2024,0.0,DIA,-1.0,3,153,0.33,0.14,0.19,57.52,20.92,-14.14,2.25,-2.28,0.082
2020-2024,0.0,DIA,-1.5,5,81,0.53,0.24,0.3,58.02,19.86,-18.87,3.54,-3.64,0.081
2020-2024,0.0,XLV,-2.0,5,36,0.57,0.18,0.38,61.11,19.23,-13.2,3.94,-4.73,0.081
2020-2024,0.0,IWM,-1.0,5,281,0.47,0.22,0.25,55.87,15.6,-24.0,3.45,-3.32,0.077
2020-2024,0.0,XLK,-1.0,5,267,0.69,0.45,0.24,58.05,11.29,-17.04,3.47,-3.22,0.074
2020-2024,0.0,XLK,-1.0,3,267,0.44,0.27,0.17,55.81,10.45,-13.1,2.71,-2.48,0.067
2020-2024,0.0,XLV,-1.5,5,70,0.39,0.18,0.21,60.0,19.23,-13.2,2.79,-3.21,0.064
2020-2024,0.0,QQQ,-1.5,5,158,0.62,0.42,0.2,58.23,10.17,-16.2,3.56,-3.47,0.059
2020-2024,0.0,XLF,-3.0,1,32,0.22,0.06,0.16,56.25,13.16,-10.81,3.4,-3.87,0.042
2020-2024,0.0,QQQ,-1.0,3,247,0.34,0.25,0.09,55.47,9.38,-13.28,2.52,-2.43,0.036
2020-2024,0.0,QQQ,-1.0,5,247,0.53,0.42,0.12,58.3,10.72,-16.2,3.16,-3.21,0.036
2020-2024,0.0,QQQ,-2.0,5,105,0.55,0.42,0.13,59.05,10.02,-16.2,3.44,-3.62,0.036
2020-2024,0.0,XLV,-1.0,5,150,0.28,0.18,0.09,58.0,19.23,-13.2,2.29,-2.56,0.036
2020-2024,0.0,XLK,-2.0,3,114,0.38,0.27,0.11,59.65,9.35,-13.1,2.77,-3.15,0.035
2020-2024,0.0,QQQ,-2.0,3,105,0.34,0.25,0.09,57.14,8.4,-13.28,2.75,-2.88,0.03
2020-2024,0.0,SPY,-1.0,5,174,0.39,0.31,0.08,57.47,17.36,-17.97,2.97,-3.21,0.024
2020-2024,0.0,XLE,-2.5,3,110,0.32,0.21,0.11,59.09,28.94,-21.05,3.93,-4.9,0.021
2020-2024,0.0,XLE,-3.0,1,75,0.12,0.07,0.05,56.0,16.04,-20.14,2.68,-3.14,0.015
2020-2024,0.0,SPY,-1.0,3,174,0.22,0.18,0.04,56.9,17.16,-12.58,2.29,-2.59,0.014
2020-2024,0.0,XLF,-1.0,5,226,0.33,0.28,0.05,56.64,21.23,-22.99,3.2,-3.42,0.014
2020-2024,0.0,IWM,-1.5,5,173,0.26,0.22,0.05,56.07,15.05,-24.0,3.54,-3.92,0.012
2020-2024,0.0,SPY,-1.5,3,96,0.2,0.18,0.02,58.33,17.16,-12.58,2.45,-2.94,0.006
2020-2024,0.1,DIA,-2.5,1,31,0.79,0.05,0.74,58.06,10.92,-10.16,2.77,-1.95,0.38
2020-2024,0.1,SPY,-2.0,1,58,0.42,0.06,0.36,55.17,8.96,-9.67,1.93,-1.44,0.247
2020-2024,0.1,SPY,-2.5,1,37,0.5,0.06,0.44,56.76,8.96,-9.67,2.24,-1.79,0.245
2020-2024,0.1,XLV,-2.0,1,36,0.45,0.04,0.41,55.56,7.61,-7.57,2.36,-1.94,0.214
2020-2024,0.1,XLK,-1.5,1,175,0.26,0.09,0.17,60.0,11.63,-9.86,1.64,-1.81,0.093
2020-2024,0.1,XLK,-1.5,5,175,0.77,0.45,0.32,58.86,11.19,-17.14,3.69,-3.41,0.093
2020-2024,0.1,XLK,-2.0,1,114,0.25,0.09,0.16,57.02,11.63,-9.86,1.74,-1.73,0.09
2020-2024,0.1,XLK,-1.5,3,175,0.5,0.27,0.23,56.0,10.35,-13.2,2.92,-2.59,0.088
2020-2024,0.1,DIA,-1.0,5,153,0.44,0.24,0.2,57.52,19.76,-18.97,2.79,-2.74,0.074
2020-2024,0.1,QQQ,-1.5,3,158,0.4,0.25,0.15,57.59,8.3,-13.38,2.64,-2.63,0.058
2020-2024,0.1,XLV,-2.0,5,36,0.47,0.18,0.28,61.11,19.13,-13.3,3.84,-4.83,0.058
2020-2024,0.1,IWM,-1.0,5,281,0.37,0.22,0.15,55.16,15.5,-24.1,3.39,-3.37,0.046
2020-2024,0.1,XLK,-1.0,5,267,0.59,0.45,0.14,56.93,11.19,-17.14,3.44,-3.24,0.043
2020-2024,0.1,DIA,-1.0,3,153,0.23,0.14,0.09,55.56,20.82,-14.24,2.23,-2.28,0.038
2020-2024,0.1,XLK,-1.0,1,267,0.15,0.09,0.06,55.81,11.63,-9.86,1.52,-1.57,0.037
2020-2024,0.1,XLV,-1.5,5,70,0.29,0.18,0.11,60.0,19.13,-13.3,2.69,-3.31,0.032
2020-2024,0.1,QQQ,-1.5,5,158,0.52,0.42,0.1,55.7,10.07,-16.3,3.62,-3.37,0.031
2020-2024,0.1,QQQ,-2.0,5,105,0.45,0.42,0.03,56.19,9.92,-16.3,3.51,-3.48,0.008
2020-2024,0.1,QQQ,-1.0,5,247,0.43,0.42,0.02,56.28,10.62,-16.3,3.17,-3.16,0.005
2020-2024,0.1,XLK,-2.0,3,114,0.28,0.27,0.01,57.89,9.25,-13.2,2.75,-3.12,0.003
2020-2024,0.1,XLE,-2.5,3,110,0.22,0.21,0.01,59.09,28.84,-21.15,3.83,-5.0,0.001
2020-2024,0.25,XLK,-1.5,5,175,0.62,0.45,0.17,57.14,11.04,-17.29,3.65,-3.42,0.049
2020-2024,0.25,XLK,-1.5,3,175,0.35,0.27,0.08,55.43,10.2,-13.35,2.8,-2.7,0.029
2020-2024,0.25,XLV,-2.0,5,36,0.32,0.18,0.13,61.11,18.98,-13.45,3.69,-4.98,0.026
2020-2024,0.25,DIA,-1.0,5,153,0.29,0.24,0.05,55.56,19.61,-19.12,2.73,-2.77,0.019
