Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2020-2024,0.0,SPY,-1.0,1,174,0.07,0.06,0.01,48.28,9.06,-9.57,1.45,-1.22,0.008
2020-2024,0.0,SPY,-1.0,3,174,0.22,0.18,0.04,56.9,17.16,-12.58,2.29,-2.59,0.014
2020-2024,0.0,SPY,-1.0,5,174,0.39,0.31,0.08,57.47,17.36,-17.97,2.97,-3.21,0.024
2020-2024,0.1,SPY,-1.0,1,174,-0.03,0.06,-0.09,45.4,8.96,-9.67,1.44,-1.25,-0.072
2020-2024,0.1,SPY,-1.0,3,174,0.12,0.18,-0.06,55.75,17.06,-12.68,2.24,-2.62,-0.025
2020-2024,0.1,SPY,-1.0,5,174,0.29,0.31,-0.02,55.17,17.26,-18.07,3.0,-3.13,-0.007
2020-2024,0.25,SPY,-1.0,1,174,-0.18,0.06,-0.24,41.95,8.81,-9.82,1.4,-1.32,-0.182
2020-2024,0.25,SPY,-1.0,3,174,-0.03,0.18,-0.21,52.87,16.91,-12.83,2.21,-2.61,-0.082
2020-2024,0.25,SPY,-1.0,5,174,0.14,0.31,-0.17,54.02,17.11,-18.22,2.91,-3.2,-0.054
2020-2024,0.5,SPY,-1.0,1,174,-0.43,0.06,-0.49,33.33,8.56,-10.07,1.49,-1.39,-0.354
2020-2024,0.5,SPY,-1.0,3,174,-0.28,0.18,-0.46,49.43,16.66,-13.08,2.11,-2.67,-0.174
2020-2024,0.5,SPY,-1.0,5,174,-0.11,0.31,-0.42,51.15,16.86,-18.47,2.81,-3.25,-0.13
2020-2024,0.0,SPY,-1.5,1,96,0.17,0.06,0.11,50.0,9.06,-9.57,1.64,-1.3,0.082
2020-2024,0.0,SPY,-1.5,3,96,0.2,0.18,0.02,58.33,17.16,-12.58,2.45,-2.94,0.006
2020-2024,0.0,SPY,-1.5,5,96,0.18,0.31,-0.13,56.25,17.36,-17.97,3.04,-3.5,-0.038
2020-2024,0.1,SPY,-1.5,1,96,0.07,0.06,0.01,48.96,8.96,-9.67,1.57,-1.37,0.005
2020-2024,0.1,SPY,-1.5,3,96,0.1,0.18,-0.08,57.29,17.06,-12.68,2.39,-2.97,-0.028
2020-2024,0.1,SPY,-1.5,5,96,0.08,0.31,-0.23,54.17,17.26,-18.07,3.06,-3.44,-0.067
2020-2024,0.25,SPY,-1.5,1,96,-0.08,0.06,-0.14,43.75,8.81,-9.82,1.6,-1.39,-0.103
2020-2024,0.25,SPY,-1.5,3,96,-0.05,0.18,-0.23,53.12,16.91,-12.83,2.43,-2.85,-0.082
2020-2024,0.25,SPY,-1.5,5,96,-0.07,0.31,-0.38,52.08,17.11,-18.22,3.03,-3.44,-0.111
2020-2024,0.5,SPY,-1.5,1,96,-0.33,0.06,-0.39,31.25,8.56,-10.07,1.95,-1.37,-0.287
2020-2024,0.5,SPY,-1.5,3,96,-0.3,0.18,-0.48,50.0,16.66,-13.08,2.32,-2.92,-0.165
